Positive,"We were so excited to eat so the photos are taken when we were halfway in. We chanced upon this place after work nearby - We ordered 2 Tempura udon (which includes fried tempura ebi, salmon, pumpkin and some enoki mushroom), dragon boat maki and a yuzu sake. The udon was amazing, soup tasted really light but flavourful with the hint of the mushroom. Noodles were cooked to a good texture and the tempura was not too oily at all! It was really comforting on a cold rainy night. My partner seldom finishes soup in soup dishes but he DEMOLISHED the whole udon.

The dragon boat maki was amazing as well, the ebi was cooked so nicely (not too oily, flour was not too much) and the salmon on it was a great addition. Very well blended taste and honestly i’m still thinking about it 😋🤤

We initially wanted to order  highball to try, but the lady boss (I assume) recommended us a yuzu sake that she had just brought in. It turned out really good and went so well with the food we ordered! She got another glass of sake (which she additionally shared with us it’s of a higher tier that is also yuzu but sweeter) That one was 🤩🤩🤩❤️❤️ I wanted to find out what brand/type was it but she was busy. (She offered as goodwill too cause another waiter accidentally spilled my glass while he was cleaning up, hope he didn’t get scolded too much for it!!! Hahaha)

We were also then served barley tea FOC - she mentioned it was refreshing after drinking alcohol and she was right. Commendable that she is very familiar with providing her customers the best experience there. Would recommend and definitely will come back again!! It’s just 3 mins walk from lorong chuan MRT exit B. Super convenient. I have also noticed there’s a lot of regular customers coming in. Not sure about the sashimi and chawamushi, but I will definitely try it again when i’m back. 🤩"
Positive,"Really great Spanish food at reasonable prices. I especially liked the grilled iberico pork secreto, the aubergine with honey, and the seafood paella. Service was good and staff were friendly. I’ll definitely be back to try their other dishes soon!"
Positive,"Food range is amazing, food equality is slightly above average. Down side that there are peak periods which will be hard to get seats during. But other than that, an often patron."
Positive,Nice ambience - the room was well decorated with Christmas carols and accompanied with Christmas carols. Delicious food - the food items on the menu did not disappoint us at all. Great service - thank you Kenny Yeo and the staffs for providing such great service.
Negative,Ordered on Deliveroo and food arrived 50min late. Contacted Deliveroo but they said delivery handled by restaurant so was unable to track and also unable to contact restaurant. Finally food arrived after 50min late. Overall quality is ok still warm but naan was understandable soggy as it was wrapped in foil.
Positive,"their coffee pork was the best to be, but prices have gone up, size of each piece has gotten smaller… the sambal kang king is still delicious"
Positive,"Crab could have been fresher, but overall still a good meal. Salted egg veg and their dramatic sweet & sour pork is something I’d gladly order again when I return."
Negative,"staff on site were cold and unwelcoming and seemingly more interested in their own conversations than helping customers. i was trying to pay but the two workers at the cashier in front of me were js chit chatting, i was standing there for 2 mins js looking at them before a third worker came to take my payment. other than that, it was my first time in awhile eating onsite at pizza hut so i was unsure of what to do, but the worker who was in the dining area was very short and cold with his answers and made the whole experience so much more unpleasant. not sure abt other pizza huts, but dont go to the one at bedok mall. not worth the money as it is expensive + horrible service."
Positive,"Loves the soup. The soup has good variety and tasted really good. The restaurant is very generous, offering a one time free refill of soup. One can just have the soup and rice as the soup is very nutritious."
Negative,50% discount Wagyu don is totally doesn’t worth it. The beef meat is difficult to bite and the taste is bad. The green tea is very hot and you can’t hold the cup for long. Won’t come back again.
Positive,"we had dinner here on 10 jan, and was served by the male manager. he was very friendly, helpful and efficient, making our meal here a very enjoyable one! the food was also very good."
Positive,"My husband had visited this restaurant today to get a takeaway, was outstanding and good. The person who took the order was really helpful in choosing my menu items as I had shell fish allergy. He even made sure to pack the condiments separately for me as I had shell fish allergy. The signature dish we tried was fish fillets in a slight curry, tasted scrumptious. We order Kang Kong , spring roll , Thai fried rice, signature fish and tom yum fried rice. Every dish was exceptionally good and delicious. I am definitely coming back here for my future Thai food cravings. My husband was flabbergasted by the experience as well. One of the best Thai food I have ever eaten at Singapore. Hands down the best!"
Positive,"I simply love this place and got to visit only days after the latest COVID restrictions got eased a bit. 3 years ago this restaurant want buzzing, this time it was a lot more quiet but with the quality of the food here - no doubt they will be back in no time."
Positive,Very fresh & yummy seafood. Ordered many dishes & all of them didn’t fail to impress. Will definitely be back for more =D!
Positive,"Ordered first time to try this new restaurant suggested by my friend. Good and tasty food at affordable price. The dishes tasted great especially their grilled chicken, fried rice and mutton soup. Nice to have new Indian food choice in Jurong area. Hope to visit and dine-in to try more soon as the restrictions lifted. Highly recommend 👍👍👍"
Positive,"If you want GOLD CLASS BRIYANK, come down to Swan Lake Branch! Not only food is good & value for money, I like their service staffs here. Never fails to greet & served with a smile!"
Positive,"A reasonably priced restaurant with good tasting Chinese food. The oil soaked croaker fish was super crispy. We crunch crunch crunch almost every part of the fish. The sauce was not too salty and just nice to eat on its own without rice. The braised brinjal was really flavouful and umami, best to eat with rice. Will definitely go back again."
Positive,"Inconspicuous. Surprisingly yummy, had the fried steak & gravy set. I enjoyed the ambiance!"
Positive,"Quick and attentive service. Drink orders came straight away after ordering off the online menu (scan from QR code). $10 pints all day is something they promote.
Food also came quickly. Big portions so make sure you come with a good appetite. We got the Fat Basterd and Philly Cheesesteak, both were really delicious and juicy. We also got Jalepeño Poppers as a starter which came with a chipotle mayo dip.
Everything was fresh, hot and tasty.
Service staff were observant and polite, clearing and serving promptly.
Vibe in the restaurant was nice and chill, old school rock music, chic decor.
Close to the Upper Thomson MRT Station, street parking right in front but mostly taken."
Negative,"Ordered dark chocolate sea salt frappe. It's too salty and sweet. Asked the manager and her reply was that the beverage is made from premix, the proportion cannot be changed."
Positive,"Thumb ups for this Hong Kong Cantonese-style Seafood Restaurant. Credits to their food quality, quantity and staff service.

Mr Adriano Lance,  Business Development Manager,  was very helpful, flexible & accommodating to my 👪family needs.

Accessible by public transport and carpark lots are readily available.

Our overall experience : 👍👍👍👍👍 and we will return for more 😄😄😄😄😄"
Positive,Great food especially the pho and the wings. They are heavenly. Seems like they do not serve fresh spring rolls. I dun quite fancy the fried ones.
Positive,"While not all my family shared the same views and taste, I like the food and location. Fortunately it was a cloudy day, so I felt just nice at lunch there.
The public carpark was a bit far for my elderly parent. Is there a carpark at the premise although I doubt based on what I see.
Overall, a lazy afternoon there. Walk along east coast beach after lunch is so so relaxing"
Positive,"Ordered the butter chicken, dhal with the naan set. The chicken was tender and tasty, and the naan served hot and fresh. The briyani and egg fried rice were also tasty and moist!

The servers were also really attentive and served us well. However, the seating was a bit cramped with a full house. An otherwise pleasant experience."
Positive,This is such a hidden jem. You could get indian gravies with great taste and quality at a very low price. And they have a lot of varieties as well.
Negative,"Had a good dining experience about two to three years ago during the Covid period. Came back to Pixy for the second time for dinner.

We ordered three dishes - bouillabaisse, grilled iberico pork collar and grilled squid, squid ink risotto. In general, the taste of the dishes is decent but we had some issues with the freshness and texture of the ingredients.

The bouillabaisse consist of two pieces of cuttlefish tentacles, one scallop, two prawns, three pieces of mackerel and some clams. Some of the ingredients wasn’t fresh and we highlighted it to the chef. He claimed that the prawns were frozen. The taste was definitely not sweet (menu indicated that it’s sweet prawn) and was mushy. The clams tasted bland, overcooked and soft. This dish is a chef’s recommendation but I definitely wouldn’t recommend it.

The taste of the grilled iberico pork collar was nice but it was at least 50% fat. Have tasted many iberico pork collar before but never this fat. The accompanying sides were decent.

The grilled squid was nicely done. However the risotto’s in the grilled squid was like a paste.

Overall the ambiance and service was nice but all the three dishes were underwhelming. It’s also unusual that a restaurant of that size has only one chef and one server on a Saturday evening."
Negative,Initially food is great. Slowly standard drop. Last i visited and i got really cold dishes. Probably not coming back anymore.
Positive,"AMAZING JOKBAL that comes with a side of bibim naengmyeon and soup!! service was amazing too, and they were super accommodating to all my requests :”) will highly recommend!!! Was a super yummy dinner spot and all my friends enjoyed the food thoroughly! (In their words the jokbal was BUSSIN BRO hahah!)"
