"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"88 Seafood","4.2","35","27 W Coast Hwy, #01-12","Singapore",,"SG","https://www.orto.sg/dining/88seafood/","+65 8685 2181","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=88%20Seafood&query_place_id=ChIJsdtvKvQb2jERSCd1FovDxtQ"
"Song Hua Jiang Restaurant","4.2","263","#01-17, 306 Woodlands Street 31","Singapore",,"SG",,"+65 6362 1885","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=Song%20Hua%20Jiang%20Restaurant&query_place_id=ChIJ-676qVIS2jEROJTqdPfsls0"
"Canopy HortPark","4.1","1340","#01-01, 33 Hyderabad Road, HortPark","Singapore",,"SG","http://www.canopygardendining.com/","+65 6556 1533","Restaurant","https://www.google.com/maps/search/?api=1&query=Canopy%20HortPark&query_place_id=ChIJD2-oVRwb2jERt-DXYPcnbQs"
"Aburi-EN (Causeway Point)","4.7","889","1 Woodlands Square, #02-09B Causeway Point","Singapore",,"SG","http://aburi-en.com/","+65 6760 2081","Japanese restaurant","https://www.google.com/maps/search/?api=1&query=Aburi-EN%20(Causeway%20Point)&query_place_id=ChIJvdEmtN4T2jERFhEliM0N41k"
"Super Thai by Soi Aroy @ Pasir Panjang","4.8","585","91 Pasir Panjang Rd","Singapore",,"SG","http://www.super-thai.com/","+65 9344 1680","Thai restaurant","https://www.google.com/maps/search/?api=1&query=Super%20Thai%20by%20Soi%20Aroy%20%40%20Pasir%20Panjang&query_place_id=ChIJNS_COSgb2jERjIDRcoSr4hw"
"Thashan's curry","4.1","21","50 Woodlands Industrial Park E4","Singapore",,"SG",,"+65 8909 9917","Indian restaurant","https://www.google.com/maps/search/?api=1&query=Thashan's%20curry&query_place_id=ChIJn3Ctq0kT2jERHCoJmTeKP8s"
"Curry Paradise","4.4","124","218 Pasir Panjang Rd, #01-12","Singapore",,"SG",,"+65 9189 5350 ext. 90033861","Indian restaurant","https://www.google.com/maps/search/?api=1&query=Curry%20Paradise&query_place_id=ChIJpQiGY54b2jERv98ZCFmqiyA"
"Volta Bistro","4.7","27","27 W Coast Hwy, #01-02/03","Singapore",,"SG","https://www.facebook.com/voltabistro","+65 8505 6801","Bistro","https://www.google.com/maps/search/?api=1&query=Volta%20Bistro&query_place_id=ChIJJVd0jNEb2jER5E621hKhmoA"
"Hillman 99 Restaurant","4.2","561","99 Pasir Panjang Rd","Singapore",,"SG","https://manhillrestaurant.com/","+65 6474 6835","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=Hillman%2099%20Restaurant&query_place_id=ChIJp3Xzzb4b2jER-VtJo_5e5fI"
"COLLIN'S® Jurong Point","4.4","640","63 Jurong West Central 3, #03-58/59 Jurong Point","Singapore",,"SG","https://www.collins.sg/","+65 6261 5910","Western restaurant","https://www.google.com/maps/search/?api=1&query=COLLIN'S%C2%AE%20Jurong%20Point&query_place_id=ChIJs3wEGBwP2jERpes4n8baDG0"
"Pallet Cafe Bar","4.9","52","4 Jln Mat Jambol, #01-07B","Bijou",,"SG",,"+65 8812 5002","Bistro","https://www.google.com/maps/search/?api=1&query=Pallet%20Cafe%20Bar&query_place_id=ChIJA17IiV4X2jERbNjg85Wi4NU"
"Rasa Istimewa Waterfront Restaurant","4.3","1887","6A Admiralty Rd W","Singapore",,"SG","https://www.rasaistimewa.sg/","+65 6366 9339","Halal restaurant","https://www.google.com/maps/search/?api=1&query=Rasa%20Istimewa%20Waterfront%20Restaurant&query_place_id=ChIJDVTpC_8S2jERSz_upFj7WYo"
