"title","categoryName","address","neighborhood","street","city","postalCode","state","countryCode","website","phone","phoneUnformatted","location/lat","location/lng","plusCode"
"88 Seafood","Chinese restaurant","27 W Coast Hwy, #01-12, Singapore 117867","Queenstown","27 W Coast Hwy, #01-12","Singapore","117867",,"SG","https://www.orto.sg/dining/88seafood/","+65 8685 2181","+6586852181","1.28292","103.78048","7QMJ+55 Singapore"
"Song Hua Jiang Restaurant","Chinese restaurant","#01-17, 306 Woodlands Street 31, Singapore 730306","Woodlands","#01-17, 306 Woodlands Street 31","Singapore","730306",,"SG",,"+65 6362 1885","+6563621885","1.4299072","103.7748405","CQHF+XW Singapore"
"Canopy HortPark","Restaurant","#01-01, 33 Hyderabad Road, HortPark, Singapore 119578","Queenstown","#01-01, 33 Hyderabad Road, HortPark","Singapore","119578",,"SG","http://www.canopygardendining.com/","+65 6556 1533","+6565561533","1.2786628","103.8008116","7RH2+F8 Singapore"
"Aburi-EN (Causeway Point)","Japanese restaurant","1 Woodlands Square, #02-09B Causeway Point, Singapore 738099","Woodlands","1 Woodlands Square, #02-09B Causeway Point","Singapore","738099",,"SG","http://aburi-en.com/","+65 6760 2081","+6567602081","1.4360863","103.7859909","CQPP+C9 Singapore"
"Super Thai by Soi Aroy @ Pasir Panjang","Thai restaurant","91 Pasir Panjang Rd, Singapore 118512","Queenstown","91 Pasir Panjang Rd","Singapore","118512",,"SG","http://www.super-thai.com/","+65 9344 1680","+6593441680","1.2748436","103.7952081","7QFW+W3 Singapore"
"Thashan's curry","Indian restaurant","50 Woodlands Industrial Park E4, Singapore 757322","Woodlands","50 Woodlands Industrial Park E4","Singapore","757322",,"SG",,"+65 8909 9917","+6589099917","1.4504216","103.7952256","FQ2W+53 Singapore"
"Curry Paradise","Indian restaurant","218 Pasir Panjang Rd, #01-12, Singapore 118579","Queenstown","218 Pasir Panjang Rd, #01-12","Singapore","118579",,"SG",,"+65 9189 5350 ext. 90033861","+6591895350","1.2796312","103.7856762","7QHP+V7 Singapore"
"Volta Bistro","Bistro","27 W Coast Hwy, #01-02/03, Singapore 117867","Queenstown","27 W Coast Hwy, #01-02/03","Singapore","117867",,"SG","https://www.facebook.com/voltabistro","+65 8505 6801","+6585056801","1.2830764","103.7806052","7QMJ+66 Singapore"
"Hillman 99 Restaurant","Chinese restaurant","99 Pasir Panjang Rd, Singapore 118517","Queenstown","99 Pasir Panjang Rd","Singapore","118517",,"SG","https://manhillrestaurant.com/","+65 6474 6835","+6564746835","1.2750237","103.7949379","7QGV+2X Singapore"
"COLLIN'S® Jurong Point","Western restaurant","63 Jurong West Central 3, #03-58/59 Jurong Point, Singapore 648331","Jurong West","63 Jurong West Central 3, #03-58/59 Jurong Point","Singapore","648331",,"SG","https://www.collins.sg/","+65 6261 5910","+6562615910","1.3392697","103.7051807","8PQ4+P3 Singapore"
"Pallet Cafe Bar","Bistro","4 Jln Mat Jambol, #01-07B, Bijou 119555","Queenstown","4 Jln Mat Jambol, #01-07B","Bijou","119555",,"SG",,"+65 8812 5002","+6588125002","1.2767207","103.7914561","7QGR+MH Singapore"
"Rasa Istimewa Waterfront Restaurant","Halal restaurant","6A Admiralty Rd W, Singapore 757445","Woodlands","6A Admiralty Rd W","Singapore","757445",,"SG","https://www.rasaistimewa.sg/","+65 6366 9339","+6563669339","1.4539459","103.7776873","FQ3H+H3 Singapore"
"Texas Chicken (Causeway Point)","Fast food restaurant","1 Woodlands Square, #01-14/15 Causeway Point, Singapore 738099","Woodlands","1 Woodlands Square, #01-14/15 Causeway Point","Singapore","738099",,"SG","https://sg.texaschicken.com/","+65 6894 8677","+6568948677","1.4357372","103.7854557","CQPP+75 Singapore"
"PastaMania - Causeway Point","Italian restaurant","1 Woodlands Square, B1-20 Causeway Point, Singapore 738099","Woodlands","1 Woodlands Square, B1-20 Causeway Point","Singapore","738099",,"SG","http://www.pastamania.com.sg/locations/","+65 6891 1349","+6568911349","1.4357915","103.7854072","CQPP+85 Singapore"
"Lao Huo Tang Restaurant","Restaurant","1 Woodlands Square, #03-02 Causeway Point, Singapore 738099","Woodlands","1 Woodlands Square, #03-02 Causeway Point","Singapore","738099",,"SG",,"+65 6219 5716","+6562195716","1.4360322","103.7867236","CQPP+CM Singapore"
"Gravy Bistro and Bar","Bistro","40 Pasir Panjang Rd, #02-36, Singapore 117440","Queenstown","40 Pasir Panjang Rd, #02-36","Singapore","117440",,"SG","https://gravy-bistro-and-bar.business.site/?utm_source=gmb&utm_medium=referral","+65 9723 3336","+6597233336","1.2756422","103.7995973","7QGX+7R Singapore"
"Ivan's Carbina","Restaurant","354A Woodlands Ave 5, Singapore 730354","Woodlands","354A Woodlands Ave 5","Singapore","730354",,"SG","https://m.facebook.com/Carbinawesternfood/","+65 8292 8599","+6582928599","1.432727","103.7850318","CQMP+32 Singapore"
"Zhong Tai Seafood Restaurant","Restaurant","Blk 354-A Woodlands Ave 1, #01-01, Singapore 731354","Woodlands","Blk 354-A Woodlands Ave 1, #01-01","Singapore","731354",,"SG",,"+65 6368 9738","+6563689738","1.4326703","103.7851375","CQMP+33 Singapore"
"Crystal Jade Hong Kong Kitchen","Chinese restaurant","Woodlands Square, #05-10 Causeway Point, Singapore 738099","Woodlands","Woodlands Square, #05-10 Causeway Point","Singapore","738099",,"SG","http://www.crystaljade.com/","+65 8366 8498","+6583668498","1.4357518","103.7855824","CQPP+86 Singapore"
"ASHMI Restaurant","Restaurant","124 Pasir Panjang Rd, Singapore 118545","Queenstown","124 Pasir Panjang Rd","Singapore","118545",,"SG",,"+65 6473 6116","+6564736116","1.2761561","103.7930965","7QGV+F6 Singapore"
"Saizeriya (Woods Square Mall)","Italian restaurant","6 Woodlands Square, #B2-22, Woods Square Mall, Singapore 737737","Woodlands","6 Woodlands Square, #B2-22, Woods Square Mall","Singapore","737737",,"SG","https://www.saizeriya.com.sg/","+65 6908 6571","+6569086571","1.434822","103.7861021","CQMP+WC Singapore"
"Bali Thai (Causeway Point)","Thai restaurant","1 Woodlands Square, #05-05, Singapore 738099","Woodlands","1 Woodlands Square, #05-05","Singapore","738099",,"SG","http://www.balithai.com.sg/","+65 6894 1363","+6568941363","1.4360092","103.7860308","CQPP+CC Singapore"
"Black Cherry","Italian restaurant","4 Jln Mat Jambol, #01-09, Singapore 119555","Queenstown","4 Jln Mat Jambol, #01-09","Singapore","119555",,"SG","https://www.blackcherry.sg/","+65 6957 5567","+6569575567","1.2769603","103.7917666","7QGR+QP Singapore"
"HooHa Cafe","Restaurant","3 South Buona Vista Rd, #B1-06 Viva Vista Mall, Singapore 118136","Queenstown","3 South Buona Vista Rd, #B1-06 Viva Vista Mall","Singapore","118136",,"SG","https://www.chope.co/singapore-restaurants/restaurant/hooha-cafe","+65 6250 6348","+6562506348","1.2799254","103.7861966","7QHP+XF Singapore"
"Yuzutei Japanese Restaurant","Restaurant","100G Pasir Panjang Rd #01-01Interlocal Centre, Singapore 118523","Queenstown","100G Pasir Panjang Rd #01-01Interlocal Centre","Singapore","118523",,"SG","https://yuzuteisg.business.site/?utm_source=gmb&utm_medium=referral","+65 9689 4092","+6596894092","1.27785","103.7964926","7QHW+4H Singapore"
"Vineyard","French restaurant","33 Hyderabad Road, #02-02 Hort Park, Singapore 119578","Queenstown","33 Hyderabad Road, #02-02 Hort Park","Singapore","119578",,"SG","https://www.vineyardhortpark.com.sg/","+65 3125 1860","+6531251860","1.2789216","103.8014419","7RH2+HH Singapore"
"Harry's Mapletree Business City","Restaurant","40 Pasir Panjang Rd, #02-43/44 Mapletree Business City II, Singapore 117383","Queenstown","40 Pasir Panjang Rd, #02-43/44 Mapletree Business City II","Singapore","117383",,"SG","http://harrys.com.sg/","+65 8268 8092","+6582688092","1.2756788","103.7995597","7QGX+7R Singapore"
"Al-Ameen Eating Corner","Coffee shop","35 Marsiling Industrial Estate Road 3 #01-11 Central Industrial Estate, Singapore 739257","Woodlands","35 Marsiling Industrial Estate Road 3 #01-11 Central Industrial Estate","Singapore","739257",,"SG","https://m.facebook.com/pages/Al-Ameen/361765083896082","+65 6366 1740","+6563661740","1.4391858","103.7834261","CQQM+M9 Singapore"
"Barrels","Restaurant","34 South Buona Vista Rd, Singapore 118162","Queenstown","34 South Buona Vista Rd","Singapore","118162",,"SG","https://barrels.business.site/?utm_source=gmb&utm_medium=referral","+65 6472 1834","+6564721834","1.2807082","103.7870009","7QJP+7R Singapore"
"Poulet - Causeway Point","Restaurant","1 Woodlands Square, #B1 - 25 Causeway Point, Singapore 738099","Woodlands","1 Woodlands Square, #B1 - 25 Causeway Point","Singapore","738099",,"SG","https://www.poulet.com.sg/","+65 6219 5122","+6562195122","1.4359673","103.7855623","CQPP+96 Singapore"
"Cheval Cafe Bar Bistro","Bistro","1 Equestrian Walk, Singapore Turf Club Riding Centre, Singapore 737863","Sungei Kadut","1 Equestrian Walk, Singapore Turf Club Riding Centre","Singapore","737863",,"SG","http://cheval.com.sg/","+65 6269 0918","+6562690918","1.4281829","103.7674324","CQH8+7X Singapore"
"BOMBAY DINING-NORTH INDIAN RESTAURANT","Restaurant","89 Pasir Panjang Rd, Singapore 118511","Queenstown","89 Pasir Panjang Rd","Singapore","118511",,"SG",,"+65 6475 5855","+6564755855","1.2749208","103.7952641","7QFW+X4 Singapore"
"Esarn Thai Corner Pasir Panjang","Thai restaurant","130 Pasir Panjang Rd, Singapore 118548","Queenstown","130 Pasir Panjang Rd","Singapore","118548",,"SG","https://social.quandoo.com/en/groups/Esarn%20Thai%20Corner%20-%20Pasir%20Panjang","+65 6473 3716","+6564733716","1.2761949","103.7930246","7QGV+F6 Singapore"
"99 Buona Vista Kitchen","Chinese restaurant","22 South Buona Vista Rd, Singapore 118156","Queenstown","22 South Buona Vista Rd","Singapore","118156",,"SG","https://www.facebook.com/pages/99-Kitchen-22-South-Buona-Vista/225258130841891","+65 9241 1352","+6592411352","1.2804626","103.7867971","7QJP+5P Singapore"
"East Treasure Chinese Restaurant (東寶) Woods Square","Chinese restaurant","6 Woodlands Square, #01-07/08/09/10 Woods Square, Singapore 737737","Woodlands","6 Woodlands Square, #01-07/08/09/10 Woods Square","Singapore","737737",,"SG","http://www.easttreasure.com.sg/","+65 6908 5650","+6569085650","1.434824","103.7861018","CQMP+WC Singapore"
"Hot Tomato","Restaurant","1 Woodlands Square, #02-11, Singapore 738099","Woodlands","1 Woodlands Square, #02-11","Singapore","738099",,"SG","http://www.hottomato.com.sg/","+65 6894 2685","+6568942685","1.4358165","103.7853953","CQPP+85 Singapore"
"Paradise Restaurant","Indian restaurant","93 Pasir Panjang Rd, Singapore 118513","Queenstown","93 Pasir Panjang Rd","Singapore","118513",,"SG",,"+65 6352 0010","+6563520010","1.2749216","103.795184","7QFW+X3 Singapore"
"Mamma Mia Trattoria E Caffè (Jurong Point)","Italian restaurant","1 Jurong West Central 2, #01-48/49, Singapore 648886","Jurong West","1 Jurong West Central 2, #01-48/49","Singapore","648886",,"SG","https://www.minorfoodsingapore.com/brands/mamma-mia-trattoria-e-caffe/","+65 6250 8545","+6562508545","1.3399257","103.7062886","8PQ4+XG Singapore"
"ALI MD KAWSAR","Restaurant","Singapore","Tuas",,,,,"SG",,,,"1.2949472","103.6304833","7JVJ+X5 Singapore"
"Legendary Hong Kong Restaurant @ Jurong Point 香港傳奇餐廳","Hong Kong style fast food restaurant","63 Jurong West Central 3, #03-80 Jurong Point, Singapore 648331","Jurong West","63 Jurong West Central 3, #03-80 Jurong Point","Singapore","648331",,"SG","http://www.lhk.com.sg/",,,"1.3399211","103.7058776","8PQ4+X9 Singapore"
"3 Monkeys","Fusion restaurant","122 Pasir Panjang Rd, Singapore 118544","Queenstown","122 Pasir Panjang Rd","Singapore","118544",,"SG","https://social.quandoo.com/en/groups/3%20Monkeys","+65 6471 3224","+6564713224","1.2761705","103.7932361","7QGV+F7 Singapore"
"Shou La Shou Beijing Restaurant","Restaurant","63 Jurong West Central 3, Singapore 648331","Jurong West","63 Jurong West Central 3","Singapore","648331",,"SG",,,,"1.3392697","103.7051807","8PQ4+P3 Singapore"
